timestamp,seq,mode,status,latency_ms_or_info
1765319870.243,0,dns,ok,45.806
1765319870.789,1,dns,ok,40.148
1765319871.335,2,dns,ok,40.603
1765319871.876,3,dns,ok,38.829
1765319872.412,4,dns,ok,31.449
1765319872.954,5,dns,ok,39.074
1765319873.490,6,dns,ok,31.852
1765319874.019,7,dns,ok,23.584
1765319874.549,8,dns,ok,28.405
1765319875.095,9,dns,ok,41.660
1765319875.642,10,dns,ok,46.000
1765319876.187,11,dns,ok,41.731
1765319876.734,12,dns,ok,44.383
1765319877.268,13,dns,ok,30.098
1765319877.803,14,dns,ok,34.985
1765319878.352,15,dns,ok,45.262
1765319878.888,16,dns,ok,30.006
1765319879.419,17,dns,ok,30.298
1765319879.959,18,dns,ok,35.376
1765319880.498,19,dns,ok,35.549
